50 5 1
100 100 100 10000
91 55 60 1604
81 94 66 4031
53 83 84 2435
85 94 94 7013
0 2 78 91
1 46 79 84
2 40 93 74
3 10 93 69
4 33 81 67
5 86 81 74
6 11 85 100
7 43 9 4
8 30 100 100
9 21 20 48
10 22 93 82
11 53 83 71
12 76 79 3
13 58 90 84
14 14 74 78
15 79 46 97
16 6 92 85
17 38 68 67
18 41 94 82
19 68 37 87
20 42 97 70
21 80 18 98
22 80 87 3
23 64 52 94
24 25 4 46
25 47 90 85
26 9 20 13
27 38 80 90
28 11 81 69
29 22 72 84
30 8 17 22
31 46 88 95
32 29 98 86
33 33 97 69
34 68 32 91
35 88 73 71
36 95 45 68
37 41 77 95
38 20 85 88
39 91 92 46
40 80 83 91
41 42 86 74
42 89 38 81
43 16 80 78
44 50 67 68
45 36 95 81
46 40 76 78
47 100 84 87
48 43 76 85
49 3 95 95
